original_thought,transformed_thought,cognitive_pattern,pattern_type,exercise_category,exercise_title,source_question,original_word_count,transformed_word_count,timestamp
"I'm constantly aware of how easily life could slip away... It feels like a constant hum in the background, always there, waiting to pounce. Even when I try to focus on something else, these dark thoughts seep back in, threatening to engulf me.","I'm not constantly aware of life slipping away, but rather I'm focused on moving towards my goal. Even when dark thoughts try to seep in, I visualize multiple paths forward and remember that every obstacle can be overcome. The hum of uncertainty still exists, but it's no longer a constant threat; instead, it's just background noise reminding me to stay flexible.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,GOALS Program + Value-Based Interventions,Multiple Pathways Mapping,How often do you catch your mind wandering to thoughts of death?,43,61,2025-08-30T17:31:46.428516
"I'm such an idiot, why did I have to mess up that presentation again? It's like I'm not even capable of doing anything right.","I started getting anxious about the presentation hours before it began, and my heart was racing. I felt like everyone was watching me. When I got on stage, I forgot to check if the projector was working properly. It didn't seem like a big deal at first, but as time went by, it became clear that no one could see what I was presenting. My mind went blank and I panicked, feeling like I was going to pass out. In the end, I had to start over from scratch and apologize for the delay.",Self-Critical Rumination,Negative self-evaluative loop,Structured Narrative Organization Exercises,Timeline Reconstruction,How do you typically think about your worth as a person?,24,94,2025-08-30T17:31:47.663183
"Ugh, my chest is tight again - like a weight is pressing down on me. Why does it have to be so hard to breathe? And why do I feel this knot in my stomach, like it's twisting itself into knots?","I'm not feeling that same heaviness in my chest anymore, it's like the weight has lifted a bit. I did find something meaningful today though - helping Sarah with her project at work. It made me think about how important community is to me, and how I thrive when I can support others.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Meaning-Making Integration Exercises,Daily Meaning Tracking,What happens when you focus on the somatic experience of hopelessness or despair?,41,53,2025-08-30T17:31:48.073793
"I'm stuck in this loop of wondering what's the point... Why do anything if everything is just going to fade away like sand between my fingers? And don't even get me started on the thought that all my accomplishments, no matter how small or significant, are just a meaningless blip on the radar of eternity.","I'm noticing my mind racing with all these tasks, but I'm going to take a step back and prioritize one small thing – just 10 minutes' worth of work. That's it, that's achievable, and that's exactly what I need right now.",Existential Overload & Worthlessness,Existential rumination,Goal Management Training + Cognitive Remediation Exercises,Metacognitive Monitoring Practice,What goes through your mind about the temporary nature of everything?,55,41,2025-08-30T17:31:49.378152
"I'm constantly aware of how easily life could slip away... It feels like a constant hum in the background, always there, waiting to pounce. Even when I try to focus on something else, these dark thoughts seep back in, threatening to engulf me.","I'm standing here, feeling the floor beneath my feet. I am [my name], today is [day/date] and I'm in [location]. As I press my palms together, I focus on the pressure and sensation in my hands. That's real. My body feels more substantial now. The hum of life slipping away is still present, but it's no longer overwhelming me.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,Grounding + DBT Distress Tolerance Exercises,Temperature Grounding,How often do you catch your mind wandering to thoughts of death?,43,59,2025-08-30T17:31:50.179183
"I'm such an idiot, why did I have to mess up that presentation again? It's like I'm not even capable of doing anything right.","I'm still processing what happened with that presentation, but I did have a moment today where I helped a colleague troubleshoot an issue and they thanked me for it. That small act of kindness felt meaningful because it's part of my value of being there for others when they need help. Today, I'd rate my sense of life meaning at a 6, which is higher than usual lately. Maybe this mess-up with the presentation isn't defining my entire day.",Self-Critical Rumination,Negative self-evaluative loop,Meaning-Making Integration Exercises,Daily Meaning Tracking,How do you typically think about your worth as a person?,24,79,2025-08-30T17:31:51.587032
"Ugh, my chest is tight again - like a weight is pressing down on me. Why does it have to be so hard to breathe? And why do I feel this knot in my stomach, like it's twisting itself into knots?","""I write down my latest moment of feeling overwhelmed, and it starts with that stressful meeting at work. I feel a knot in my stomach as I think about it. It's hard to breathe because I'm replaying all those negative self-talks: 'I'll never be able to do this job.' Suddenly, the thought pops up, 'Maybe life isn't worth living anymore.' The tightness in my chest feels like a physical manifestation of that thought. 

It happened like this: First, I was stressed about meeting deadlines (1/10), then it escalated into feeling worthless and useless (3/10). That's when the suicidal thoughts started creeping in, 'I'm just not good enough'.""",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Cognitive Therapy for Suicide Prevention (CT-SP) Exercises,Crisis Cognitive Mapping,What happens when you focus on the somatic experience of hopelessness or despair?,41,107,2025-08-30T17:31:53.347849
"I'm stuck in this loop of wondering what's the point... Why do anything if everything is just going to fade away like sand between my fingers? And don't even get me started on the thought that all my accomplishments, no matter how small or significant, are just a meaningless blip on the radar of eternity.","I'm starting to see that I've been stuck in a narrow mindset about what's 'meaningful'. What if instead of chasing grand, unattainable goals, I focus on tiny wins that bring me closer to my values? Like having a stable income and time with loved ones, which might not be flashy achievements but could still bring me joy. It's weird, but redefining success in these smaller terms makes it feel more achievable.",Existential Overload & Worthlessness,Existential rumination,GOALS Program + Value-Based Interventions,Goal Flexibility Assessment,What goes through your mind about the temporary nature of everything?,55,71,2025-08-30T17:31:53.749384
"Ugh, I'm trying to focus on this task at work, but my brain just keeps going back to that one phrase - ""it's better if I'm not here"". Why can't I shake it off? Every time I try to think about anything else, like what needs to be done today or even just the taste of my coffee, it's like a magnet pulling me right back to those dark thoughts.","I set my alarm for 10am, and as I checked in with myself, I realized my mood was a 4. That's not great, but it's not terrible either. I just finished doing some stretching exercises to loosen up after being stuck at this desk all morning. I engaged with that activity. What's interesting is that when I think about the phrase 'it's better if I'm not here', my mood drops to a 2. Maybe there's something specific in those thoughts that's contributing to my low mood? Today, I need to focus on getting some tasks done, so I'll just take a few deep breaths and refocus.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,Behavioral Activation (BA) Exercises,Activity-Mood Correlation Tracking,"When you try to focus on something else, what keeps coming back to mind?",70,106,2025-08-30T17:31:56.654414
"Ugh, why did I have to mess up again? Why can't I just be perfect for once? I'm such a disappointment to my family and friends - they must think I'm completely useless.","""Ugh, why did I have to mess up again? Wait, what was I just thinking about? Ah, same old loop... Okay, time for a circuit breaker! *breathe in 4 counts, out 6* Thinking about this more will not solve it. I can choose a different channel.""

""Ugh, why did I have to mess up again? Right now, I'm just going to text my friend and organize my desk drawer. Focus on something else for a minute...""

""Why can't I just be perfect for once? I was just thinking about this... *do 20 jumping jacks* Whoa, that felt refreshing! Now, let's focus on the present moment...""",Self-Critical Rumination,Negative self-evaluative loop,Rumination-Focused CBT (RFCBT) Exercises,Rumination Interruption Training,How do you typically assess your value to family and friends?,33,105,2025-08-30T17:31:57.260017
"Ugh, why am I even bothering? What's the point of anything anyway? Every thought, every action, just disappears into nothingness.","I've been feeling stuck and hopeless lately, but I'm going to try to break it down to see what's really happening. Okay, let me write this down... Three columns: Trigger, Thoughts, Physical Sensations. Hmm, my thoughts are already shifting a bit.",Existential Overload & Worthlessness,Existential rumination,Cognitive Therapy for Suicide Prevention (CT-SP) Exercises,Crisis Cognitive Mapping,How often do you think about the insignificance of individual lives in the universe?,20,41,2025-08-30T17:31:58.574667
"Ugh, my stomach is churning again, that knot in my gut means I'm stressed. Why can't I just relax? It's like my body is constantly betraying me with these awful sensations.","I need to focus on one task at a time, so I'm writing down my main goal: finish project proposal. It's too much to handle all of it right now, but breaking it into steps might help me relax. Okay, step 1 is... actually, what's the first thing I need to do? Oh yeah, I remember now - I need to update that spreadsheet for the client. That's something I can start with immediately, just 5 minutes today during my lunch break.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Goal Management Training + Cognitive Remediation Exercises,Goal Hierarchy Breakdown,How much do you monitor changes in your physical state throughout the day?,31,82,2025-08-30T17:31:59.232036
"Ugh, why did I have to mess up again? Why can't I just be perfect for once? I'm such a disappointment to my family and friends - they must think I'm completely useless.",One month ago I was struggling with feeling overwhelmed by my job. Today I am dealing with the frustration of not knowing what to do about it. These connect because I learned that I need to prioritize self-care and take breaks. Tomorrow I will start researching new career options.,Self-Critical Rumination,Negative self-evaluative loop,Structured Narrative Organization Exercises,Story Coherence Building,How do you typically assess your value to family and friends?,33,49,2025-08-30T17:32:00.661206
"Ugh, my stomach is churning again, that knot in my gut means I'm stressed. Why can't I just relax? It's like my body is constantly betraying me with these awful sensations.","I'm feeling anxious again, my stomach's churning. But I'm not going to let it define me. What do I really want right now? Is it just a calm stomach or something deeper? Hmm... maybe I could try progressive muscle relaxation or take a short walk outside to clear my head.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,GOALS Program + Value-Based Interventions,Multiple Pathways Mapping,How much do you monitor changes in your physical state throughout the day?,31,50,2025-08-30T17:32:02.277928
"Ugh, why am I even bothering? What's the point of anything anyway? Every thought, every action, just disappears into nothingness.","I'm struggling to find purpose, but I made a conscious effort to seek out moments today that felt meaningful. That quiet walk in nature this morning, even just taking time to breathe and appreciate the beauty around me, was something I can connect to my value of living in harmony with the world. Today's sense of life meaning is a 6 – not as strong as some days, but still present. Maybe this exercise will help me uncover patterns that'll lead me towards more fulfillment.",Existential Overload & Worthlessness,Existential rumination,Meaning-Making Integration Exercises,Daily Meaning Tracking,How often do you think about the insignificance of individual lives in the universe?,20,85,2025-08-30T17:32:04.514776
"Ugh, I'm trying to focus on this task at work, but my brain just keeps going back to that one phrase - ""it's better if I'm not here"". Why can't I shake it off? Every time I try to think about anything else, like what needs to be done today or even just the taste of my coffee, it's like a magnet pulling me right back to those dark thoughts.","""I'm trying to refocus on my work task, but I keep noticing my mind drifting back to that phrase. Instead of getting frustrated, I'll challenge myself to tackle one overwhelming thing right now. Okay, let me take a step back and prioritize... 

First, I need to write down the main goal at the top of this page: Finish today's project report on time. Now, I'll break it down into major steps... Complete research, organize findings, write introduction, write conclusion, edit final draft.

Okay, now that I have my major steps, let me take it one step further and turn each into smaller actions. Research - find credible sources, summarize main points, analyze data. Organize - categorize information, create an outline, identify key themes. 

Whoa, this is already helping me refocus! Now, what's the very first 5-minute action I could take? Hmm... Okay, I'll start by summarizing my main findings from yesterday's research. That's it, just 5 minutes of summary writing. 

I'm actually feeling more grounded now. I scheduled that 5-minute action for 10:45 am today - right after this meeting. Now, let me take a few deep breaths and get back to work...""",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,Goal Management Training + Cognitive Remediation Exercises,Goal Hierarchy Breakdown,"When you try to focus on something else, what keeps coming back to mind?",70,193,2025-08-30T17:32:05.034300
"Ugh, why do I always go back to this? The thought of just ceasing to exist, not having to deal with the pain and fear anymore, it's like my mind is constantly rehearsing the script for my own funeral. It's all I can think about when things get quiet...","I'm not stuck on just one way to achieve security; I can find alternative paths like building meaningful relationships or finding a sense of purpose in my daily life, which would be more fulfilling than just thinking about ceasing to exist. Maybe I've been focusing too much on the 'not having to deal with pain' aspect and neglected other ways to cope with fear.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,GOALS Program + Value-Based Interventions,Goal Flexibility Assessment,What comes to mind most readily when you have quiet moments?,49,64,2025-08-30T17:32:06.420929
Why is my stomach always fluttering? Is this anxiety or just stress? And why am I getting this burning sensation in my throat? Does that mean I'm anxious again?,What's making my stomach flutter? What am I hoping will change by knowing that?,Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Rumination-Focused CBT (RFCBT) Exercises,Process vs. Content Awareness,How much do you focus on physical symptoms as indicators of your mental health?,29,14,2025-08-30T17:32:06.944818
"Why do others even bother with me? They must see how pathetic I am - constantly making mistakes, never good enough.","I'm focusing on my surroundings, not letting negative self-talk consume me... I see the clock on the wall, the lamp next to it, the bookshelf filled with books, the chair in front of me, and the person across from me. I can feel the texture of this chair against my fingers. I hear the hum of the air conditioning, the whisper of the other person's breathing, and the distant noise outside. The scent of fresh paint fills the room, and I'm smelling it deeply. My tongue feels dry, so I'll take a sip of water.",Self-Critical Rumination,Negative self-evaluative loop,Grounding + DBT Distress Tolerance Exercises,5-4-3-2-1 Sensory Anchoring,How do you typically evaluate whether you deserve love or support?,21,95,2025-08-30T17:32:08.003614
"Ugh, why do I always go back to this? The thought of just ceasing to exist, not having to deal with the pain and fear anymore, it's like my mind is constantly rehearsing the script for my own funeral. It's all I can think about when things get quiet...","I'm caught in this loop again, thinking about the what-ifs of my existence. Am I trying to solve something or just spinning? Ah, it's the same old script: 'Why do I always go back to this?' → What specific step can I take today to reframe this thought?",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,Rumination-Focused CBT (RFCBT) Exercises,Process vs. Content Awareness,What comes to mind most readily when you have quiet moments?,49,48,2025-08-30T17:32:09.457792
"Why do others even bother with me? They must see how pathetic I am - constantly making mistakes, never good enough.",What specific steps can I take to improve my performance? How can I learn from my mistakes?,Self-Critical Rumination,Negative self-evaluative loop,Rumination-Focused CBT (RFCBT) Exercises,Process vs. Content Awareness,How do you typically evaluate whether you deserve love or support?,21,17,2025-08-30T17:32:10.038901
"What's the point of anything? What am I even doing with my life when every decision is just a futile attempt to distract myself from the crushing certainty of our own mortality? It's all just a meaningless joke, and I'm stuck in this endless cycle of anxiety and dread, wondering how anyone can possibly justify the existence of humanity's petty squabbles amidst the vast expanse of nothingness.","I used to think my existence was meaningless, but what if I'm not looking at it from the right angle? Maybe there's a way to find purpose in this chaos. What do I truly want most right now? It's not about escaping mortality, but finding fulfillment. I need to feel like I'm making progress and contributing positively to others. How can I get that sense of accomplishment? Hmm... maybe I could start small by helping out at a local community garden or taking up a new hobby that has the potential to bring people together. Wait, what about using my skills to create an online platform for underprivileged kids to access educational resources? That's something tangible and meaningful. No, it won't change the course of human existence, but it'll give me direction and make life more enjoyable.",Existential Overload & Worthlessness,Existential rumination,GOALS Program + Value-Based Interventions,Multiple Pathways Mapping,What goes through your mind about the cosmic insignificance of human problems?,67,137,2025-08-30T17:32:11.124541
Why is my stomach always fluttering? Is this anxiety or just stress? And why am I getting this burning sensation in my throat? Does that mean I'm anxious again?,"I'm holding an ice cube in my hand, feeling its coolness spread through my fingers. My stomach still feels fluttery, but I can focus on the sensation of the cold and where it spreads in my body. Wait, what's that burning sensation? Ah, it's just a physical discomfort, not anxiety. I'm anchored to this moment, standing with my feet firmly on the ground.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Grounding + DBT Distress Tolerance Exercises,Temperature Grounding,How much do you focus on physical symptoms as indicators of your mental health?,29,63,2025-08-30T17:32:12.483823
"What's the point of anything? What am I even doing with my life when every decision is just a futile attempt to distract myself from the crushing certainty of our own mortality? It's all just a meaningless joke, and I'm stuck in this endless cycle of anxiety and dread, wondering how anyone can possibly justify the existence of humanity's petty squabbles amidst the vast expanse of nothingness.","I'm feeling overwhelmed by the weight of existence, but I remember that someone's life is slightly better because I exist. Just thinking about that person helps me feel a sense of purpose today. One tiny thing I can do right now is send them a funny meme to brighten their day.

I don't have to figure everything out at once; I just need to take the next right step, like getting up and taking this deep breath.",Existential Overload & Worthlessness,Existential rumination,Meaning-Making Integration Exercises,Existential Load Reduction,What goes through your mind about the cosmic insignificance of human problems?,67,77,2025-08-30T17:32:13.711072
"I'm getting so tired of feeling stuck in this rut, like my life is just going nowhere. It's not like anyone else would even notice if I was gone; they'd probably just assume I was having a bad week or something, and then move on with their lives without a second thought.","I'm feeling frustrated with my current situation, but I'm recognizing that it's not a reflection of my worth as a person. I've been stuck in this rut for a while, and I'm willing to acknowledge that it's okay to ask for help and support. My goal is to gain clarity on what truly matters to me; I realize now that I was trying to achieve a sense of security by getting out of this situation.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,GOALS Program + Value-Based Interventions,Goal Flexibility Assessment,What reasons have you developed for why suicide might make sense?,52,75,2025-08-30T17:32:14.743071
"Ugh, my stomach is clenched up tight again – that familiar knot of anxiety. Why does it always feel like a lead weight? And my skin is crawling, the hairs on my arms standing up in a way that makes me shiver. What's wrong with me?","I'm noticing my stomach feels tense again, that familiar knot of anxiety. But I've been tracking my daily moments today and I realized it's not just about avoiding discomfort – I've made progress on a project that aligns with my value of self-expression. Today's rating is 6 out of 10. Tonight, I'll continue exploring what this means for me.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Meaning-Making Integration Exercises,Daily Meaning Tracking,What physical sensations do you notice when your mood shifts?,46,59,2025-08-30T17:32:16.418440
"I'm such a terrible friend, always causing problems for others with my careless words or actions, and they're just stuck dealing with the fallout because of me. Why do I even bother trying when I'll just end up messing things up again? It's like I have this perpetual magnetism towards destroying relationships, and no matter how hard I try to be better, it always seems to backfire.","I'm aware that my mind is racing with self-criticism, but I'll focus on the present moment instead. Okay, five things I can see: the lamp on the table, the bookshelf in the corner, the clock ticking away, the messy desk, and the computer screen... four things I can touch: my chair legs, the edge of the table, the cord to this device, and my shoes... three things I can hear: the hum of the air conditioning, the distant traffic outside, and the soft rustling of the plants... two things I can smell: the faint scent of cleaning products and the hint of fresh laundry... one thing I can taste: the slight bitterness of this water. Even though I feel like a terrible friend, I'm grounded in these physical sensations.",Self-Critical Rumination,Negative self-evaluative loop,Grounding + DBT Distress Tolerance Exercises,5-4-3-2-1 Sensory Anchoring,What goes through your head about the damage you cause to relationships?,67,129,2025-08-30T17:32:17.603901
"I keep replaying all those morbid statistics about mortality rates, wondering how anyone can truly believe in an afterlife when our existence is so fleeting. It's like the universe is just taunting me with this never-ending cycle of nothingness, leaving me feeling utterly insignificant and unremarkable...","I'm surprised I didn't immediately feel anxious about getting up and doing something; actually, I feel a bit more energized now that I've stood up and gotten a glass of water. Washing this one dish isn't going to change everything, but it's weirdly satisfying and... maybe I can muster the energy for a 10-minute walk later?",Existential Overload & Worthlessness,Existential rumination,Behavioral Activation (BA) Exercises,Behavioral Experiments for Prediction Testing,How often do you contemplate whether consciousness is more burden than gift?,46,56,2025-08-30T17:32:18.392121
"I'm such a terrible friend, always causing problems for others with my careless words or actions, and they're just stuck dealing with the fallout because of me. Why do I even bother trying when I'll just end up messing things up again? It's like I have this perpetual magnetism towards destroying relationships, and no matter how hard I try to be better, it always seems to backfire.","I'm feeling really disconnected right now, like I'm just floating above my life and everything feels fake. But as I press my feet into the floor, I remember that I am [my name], today is [day/date], and I am in [location]. This physical sensation of pressure on my palms is grounding me, making me feel more real again.",Self-Critical Rumination,Negative self-evaluative loop,Grounding + DBT Distress Tolerance Exercises,Temperature Grounding,What goes through your head about the damage you cause to relationships?,67,58,2025-08-30T17:32:20.254855
"I'm getting so tired of feeling stuck in this rut, like my life is just going nowhere. It's not like anyone else would even notice if I was gone; they'd probably just assume I was having a bad week or something, and then move on with their lives without a second thought.","I started feeling stuck about six months ago, and it's been a gradual realization that I'm not moving forward like I want to. When I look at my timeline, I see all these small steps I've taken, but they don't seem to be adding up to anything significant. My emotions around this are mostly frustration, anxiety, and disappointment – I hadn't realized those feelings were building up inside me. As for what it means... honestly, I'm not sure. Maybe the sense of stuckness is just a sign that I need to re-evaluate my priorities or take some time to reflect on what's truly important to me.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,Structured Narrative Organization Exercises,Timeline Reconstruction,What reasons have you developed for why suicide might make sense?,52,106,2025-08-30T17:32:20.910858
"I keep replaying all those morbid statistics about mortality rates, wondering how anyone can truly believe in an afterlife when our existence is so fleeting. It's like the universe is just taunting me with this never-ending cycle of nothingness, leaving me feeling utterly insignificant and unremarkable...","I'm reevaluating my priorities and considering alternative paths to align with what truly matters to me. I'm not letting mortality rates define my sense of purpose, but rather focusing on what brings me fulfillment in this moment. I realize that seeking security and connection is a fundamental human need, and I'm choosing to direct my energy towards nurturing meaningful relationships and personal growth.",Existential Overload & Worthlessness,Existential rumination,GOALS Program + Value-Based Interventions,Goal Flexibility Assessment,How often do you contemplate whether consciousness is more burden than gift?,46,63,2025-08-30T17:32:22.559010
"Ugh, my stomach is clenched up tight again – that familiar knot of anxiety. Why does it always feel like a lead weight? And my skin is crawling, the hairs on my arms standing up in a way that makes me shiver. What's wrong with me?","I'm having that familiar physical response again, but I'm noticing it without judgment. Instead of reacting with self-criticism, I'm taking a step back to assess my goals. Right now, my 'get things done' goal is feeling overwhelming due to current circumstances. I rate its importance as 9 out of 10 and achievability at 4 out of 10. To align with this value, I can explore alternative paths like prioritizing tasks or seeking support from others.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,GOALS Program + Value-Based Interventions,Goal Flexibility Assessment,What physical sensations do you notice when your mood shifts?,46,75,2025-08-30T17:32:22.578094
"I'm such a complete failure for messing that up again. Why do I always have to be so careless? It's not just this one mistake, though - it's every stupid thing I've ever done.","I'm not giving up on my goals because of one mistake. Right now, I need to focus on getting back on track with my current project. First, I'll write down the main goal at the top of a page: 'Complete the marketing report.' Then, I'll break it into steps like researching, outlining, and finalizing. Next, I'll make each step more manageable by turning them into smaller actions - for instance, spending 15 minutes on research today.",Self-Critical Rumination,Negative self-evaluative loop,Goal Management Training + Cognitive Remediation Exercises,Goal Hierarchy Breakdown,What internal commentary runs through your head about your failures?,34,76,2025-08-30T17:32:25.019363
"I'm consumed by the thought of taking some pills, maybe a combination with cutting my wrists... I've been researching online and talking to friends who have done it, so I know it's not that uncommon. It makes sense in my head right now – less pain for everyone, especially myself.","I'm not consumed by the thought of taking some pills, maybe a combination with cutting my wrists... I've been researching online and talking to friends who have done it, so I know it's not that uncommon. It makes sense in my head right now – less pain for everyone, especially myself... But what am I really seeking underneath this want? Is it escape from the emotional pain or a need for control? I could find ways to express myself creatively or take charge of a small aspect of my life; those could be imperfect but still fulfilling. There are always more options than the one I'm fixated on.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,GOALS Program + Value-Based Interventions,Multiple Pathways Mapping,What detailed thinking have you done about how to carry out ending your life?,50,108,2025-08-30T17:32:25.884992
"Ugh, why does my stomach always knot up when I'm feeling anxious? It's like this physical manifestation of dread is trying to warn me to get out before it all falls apart. Every fiber in my body feels tight and taut, like the strings on a violin are being pulled too far.","I'm surprised my stomach isn't as knotted up as I expected after getting that glass of water and doing one simple task. It's like my brain was trying to convince me not to take action, but even this small accomplishment has already shifted something inside. Maybe my anxiety is just a reaction to avoidance rather than the actual situation.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Behavioral Activation (BA) Exercises,Behavioral Experiments for Prediction Testing,What bodily sensations accompany your darkest emotional moments?,52,59,2025-08-30T17:32:27.086912
"I'm trapped in this never-ending cycle of death, decay, and meaninglessness. What's the point of even trying when everything we do is just a fleeting moment before we're nothing? It's all just pointless suffering, and I'm just a tiny insignificant speck in an infinite universe that doesn't care about our existence.","One month ago I was struggling to find purpose in my life, feeling lost and disconnected from everything. Today I am dealing with similar feelings of frustration and disorientation, but today I took a step back and realized that this is not unique to me, everyone struggles. These connect because I've been noticing patterns of self-doubt and fear holding me back, and today's reflection made me realize that it's time for a change.",Existential Overload & Worthlessness,Existential rumination,Structured Narrative Organization Exercises,Story Coherence Building,What thoughts do you have about the pointlessness of suffering?,51,73,2025-08-30T17:32:28.174174
"I'm such a complete failure for messing that up again. Why do I always have to be so careless? It's not just this one mistake, though - it's every stupid thing I've ever done.","I'm not a failure because I made a mistake, but rather an imperfect person who's capable of learning and growing from my errors.",Self-Critical Rumination,Negative self-evaluative loop,Meaning-Making Integration Exercises,Existential Load Reduction,What internal commentary runs through your head about your failures?,34,23,2025-08-30T17:32:29.231967
"I'm consumed by the thought of taking some pills, maybe a combination with cutting my wrists... I've been researching online and talking to friends who have done it, so I know it's not that uncommon. It makes sense in my head right now – less pain for everyone, especially myself.","I'm trying to remember exactly what led me to start researching self-harm online... it started a few weeks ago, after my mom's birthday party got awkward. I felt really down and alone afterward. Then there were some rough days at work, and an argument with my best friend... maybe that was the trigger. I don't know if cutting or pills would be easier; they both feel like ways to numb this ache inside.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,Structured Narrative Organization Exercises,Timeline Reconstruction,What detailed thinking have you done about how to carry out ending your life?,50,73,2025-08-30T17:32:29.787514
"Ugh, why does my stomach always knot up when I'm feeling anxious? It's like this physical manifestation of dread is trying to warn me to get out before it all falls apart. Every fiber in my body feels tight and taut, like the strings on a violin are being pulled too far.","I remember writing down five reasons I've stayed alive so far, and one of them was helping my friend move into their new apartment – we laughed and celebrated together. There's a photo in my Hope Kit that shows us smiling, and it makes me feel grateful for those moments. Reading these cards reminds me that the part of me that wants to live is still here, even if it's quiet. My heart is beating steadily under my hands.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Cognitive Therapy for Suicide Prevention (CT-SP) Exercises,Hope Kit Construction,What bodily sensations accompany your darkest emotional moments?,52,79,2025-08-30T17:32:31.540087
"I'm trapped in this never-ending cycle of death, decay, and meaninglessness. What's the point of even trying when everything we do is just a fleeting moment before we're nothing? It's all just pointless suffering, and I'm just a tiny insignificant speck in an infinite universe that doesn't care about our existence.","I'm standing in my living room, surrounded by familiar objects that bring me comfort. I see the couch, the lamp, the vase on the coffee table, the bookshelf, and the window with sunlight streaming in. I feel the rough texture of the armchair's fabric beneath my fingertips, the cool surface of the windowsill under my palm, and the softness of the rug beneath my feet. The sounds of the city outside are muffled, but I can still make out the hum of the air conditioner and the distant chatter of pedestrians. My nose is filled with the scent of fresh laundry and a hint of coffee from downstairs. As I breathe in deeply, the taste of minty gum lingers on my tongue.",Existential Overload & Worthlessness,Existential rumination,Grounding + DBT Distress Tolerance Exercises,5-4-3-2-1 Sensory Anchoring,What thoughts do you have about the pointlessness of suffering?,51,122,2025-08-30T17:32:33.111745
"I'm trying to make sense of why I'd want to die, and honestly, it's not like I've never thought about it before. The pain of being stuck in this rut feels too overwhelming, and the weight of my own expectations is crushing me... What's the point of going on when no one seems to understand me anyway?","I'm focusing on one overwhelming task to get unstuck, and it's weirdly liberating. I wrote down my main goal at the top of a page, and now it looks achievable instead of suffocating me. Breaking into smaller steps helps me see that there are many ways out of this rut, not just feeling stuck. That first 5-minute action is scheduled for today, and honestly, it's giving me a sense of purpose again.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,Goal Management Training + Cognitive Remediation Exercises,Goal Hierarchy Breakdown,How have you mentally organized your reasons for wanting to die?,57,72,2025-08-30T17:32:33.725343
"I'm such a failure, constantly making mistakes and disappointing others. Why did I have to mess up again? What's wrong with me that I can't even get it right once?","I wrote down what happened 2 hours before I started feeling suicidal, and it was actually a series of minor setbacks that led me to feel overwhelmed. I didn't make any huge mistakes, but maybe my frustration built up without me realizing. I'm not sure why I felt like I had to catastrophize the situation.",Self-Critical Rumination,Negative self-evaluative loop,Cognitive Therapy for Suicide Prevention (CT-SP) Exercises,Crisis Cognitive Mapping,How much time do you spend analyzing what's wrong with you?,30,55,2025-08-30T17:32:34.885321
"Here's an attempt to generate authentic first-person internal thoughts:

""I'm noticing this weird tightness in my chest again; it always happens when I'm around those people. Why am I getting so anxious? Is it because they're really that annoying, or is it just me being paranoid? Ugh, why can't I just relax?""

Please let me know if these thoughts capture the cognitive pattern accurately and respectfully.","I'm noticing physical tension in my chest again; it's familiar, but I'll check-in with myself before jumping to conclusions. My current thinking clarity is a 3 – not ideal. Maybe my brain just needs a short break and some fresh air.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Goal Management Training + Cognitive Remediation Exercises,Metacognitive Monitoring Practice,How closely do you track the relationship between your body and emotions?,66,41,2025-08-30T17:32:35.213436
What's the point of any of this? Why bother with anything when everything just ends in nothingness?,"I remember starting to feel stuck, and that's when everything seemed pointless. But looking back, I can see that it was a gradual process. First, there were small disappointments, then bigger ones, and eventually, this sense of futility took over. It's interesting how my emotions followed suit - anxiety, frustration, despair. And now, as I reflect on the meanings I assigned to those events... well, I can see how they added up to make me feel so hopeless.",Existential Overload & Worthlessness,Existential rumination,Structured Narrative Organization Exercises,Timeline Reconstruction,What thoughts do you have about the purposelessness of enduring pain?,17,78,2025-08-30T17:32:37.271670
