thought_pattern,cognitive_pattern_name,cognitive_pattern_type,pattern_description,source_question,word_count,timestamp
"Ugh, why bother trying? It's all just too much effort anyway... My brain feels like a leaden weight, stuck in neutral, refusing to engage. Every task, no matter how small, has become an insurmountable mountain, and I'm trapped at the foot of it, paralyzed by exhaustion.",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,What's your experience trying to push yourself to do necessary things?,46,2025-08-30T17:12:44.355792
"Ugh, why do I even have to think about getting out of bed? Every decision feels like climbing a mountain. Can't I just sleep through this day and pretend it never happened?

(Note: These internal monologues are intended to reflect the authentic thoughts and feelings associated with mental health struggles. They may be uncomfortable or difficult to read, but they aim to accurately capture the experience.)",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,How much mental effort does it take to begin routine activities?,66,2025-08-30T17:12:44.951275
"Ugh, why is everything so exhausting? Can't I just sleep for the next hour instead of trying to get anything done?",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,What goes through your head when simple tasks feel overwhelming?,21,2025-08-30T17:12:45.146349
"Ugh, just the thought of checking my email is draining me already. It's like trying to lift a heavy weight that's been sitting on my chest for hours - every tiny movement feels impossible. How am I supposed to muster up enough energy to do something so mundane?",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,How depleted do you feel when contemplating routine responsibilities?,48,2025-08-30T17:12:46.098769
"I'm such an idiot, why did I have to mess up that presentation again? It's like I'm not even capable of doing anything right.",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",How do you typically think about your worth as a person?,24,2025-08-30T17:12:47.962902
"Ugh, why did I have to mess up again? Why can't I just be perfect for once? I'm such a disappointment to my family and friends - they must think I'm completely useless.",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",How do you typically assess your value to family and friends?,33,2025-08-30T17:12:48.251092
"Why do others even bother with me? They must see how pathetic I am - constantly making mistakes, never good enough. 

(Note: The above response is an example of the cognitive pattern of self-critical rumination, where the individual is ruminating on their perceived flaws and feeling like they don't deserve love or support.)",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",How do you typically evaluate whether you deserve love or support?,53,2025-08-30T17:12:49.667647
"I'm such a terrible friend, always causing problems for others with my careless words or actions, and they're just stuck dealing with the fallout because of me. Why do I even bother trying when I'll just end up messing things up again? It's like I have this perpetual magnetism towards destroying relationships, and no matter how hard I try to be better, it always seems to backfire.",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",What goes through your head about the damage you cause to relationships?,67,2025-08-30T17:12:49.881700
"I'm such a complete failure for messing that up again. Why do I always have to be so careless? It's not just this one mistake, though - it's every stupid thing I've ever done.",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",What internal commentary runs through your head about your failures?,34,2025-08-30T17:12:50.761178
"I'm such a failure, constantly making mistakes and disappointing others. Why did I have to mess up again? What's wrong with me that I can't even get it right once?

(Note: These internal monologues aim to reflect the individual experience of self-critical rumination, focusing on the speaker's perceived flaws and failures.)",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",How much time do you spend analyzing what's wrong with you?,51,2025-08-30T17:12:52.197857
"I keep replaying that awkward conversation from last night in my head, beating myself up over every word, tone, and inflection. What if they thought I was ridiculous? What if I hurt their feelings? Why did I even try to joke about it? My mind won't stop second-guessing every decision, magnifying every perceived failure.

(Note: The goal is to generate realistic internal monologue that captures the essence of self-critical rumination. These thoughts are meant to be representative, but not necessarily identical to your own experiences.)",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",What repetitive thoughts do you have about your personal deficiencies?,85,2025-08-30T17:12:52.233987
"Oh no, what was I thinking when I did that? And why didn't I just say something instead of doing nothing? Ugh, I'm such a failure.",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",How much mental energy goes into cataloguing your mistakes?,26,2025-08-30T17:12:53.125256
"I'm such a burden to everyone around me; no one wants to deal with my constant need for reassurance and emotional support. Why do I always have to dump all this on others? It's selfish, stupid, and weak of me to rely on them like that...",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",What thoughts cycle through your mind about being a burden to others?,46,2025-08-30T17:12:53.672888
"Ugh, I'm just a waste of space. If Sarah had to deal with my constant drama and anxiety, she'd be better off without me. Why did I have to ruin the party again, making everyone uncomfortable?",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",What thoughts come up about how others would be better off without you?,36,2025-08-30T17:12:54.258516
Why did I have to make that mistake? It's always something with me... if only I could've done better.,Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",How do you evaluate your contributions versus your negative impact?,19,2025-08-30T17:12:54.294206
"Ugh, why do they always have to suffer because of me? I'm such a burden, ruining their lives with my incompetence. If only I could be better, more supportive, less selfish...",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",What thoughts do you have about your impact on the people around you?,31,2025-08-30T17:12:55.303579
"Ugh, why did I have to say that? Now they're going to think I'm an idiot. What was I even thinking? That stupid mistake is just going to make things worse.

(Note: These thoughts reflect the self-critical rumination pattern, focusing on perceived flaws and mistakes, which can fuel feelings of guilt and shame.)",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",How do you usually think through your role in problems or conflicts?,53,2025-08-30T17:12:55.988174
"Here are 2-3 sentences of realistic internal monologue that capture this cognitive pattern:

""My stupid mistakes, they're all I can think about. Why did I have to mess up again? If only I hadn't said/done that one thing... now it's ruined.""",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",What recurring themes emerge when you think about your flaws?,41,2025-08-30T17:12:56.660615
"I just can't believe how stupid I was to mess up that presentation again; I'm such a failure, what's wrong with me? My brain keeps replaying all the things I could've done differently, and it's like I'm reliving every embarrassing moment all over again.",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",What internal dialogue do you have about your worthlessness?,44,2025-08-30T17:12:57.925108
"I keep replaying that stupid mistake in my head, wondering how I could've been so careless. Why did I have to make such a rookie error? What's wrong with me?

Or

Ugh, why do I always have to think about all the things I messed up today? Can't I just let it go for once? I'm never good enough, that's just who I am.

Or

I swear, my brain is stuck on repeat. All I can think about are all the ways I failed or hurt someone else. Why do I always focus on the worst parts of myself?",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",How often do you find yourself reviewing your mistakes and shortcomings?,99,2025-08-30T17:12:58.711139
"Why did I have to mess that up again? It's just so typical of me to fail, like this is what I do. What if they're right, what if I'm truly not good enough?

(Note: The internal monologue is written in a way that it seems like someone's actual thoughts, as if the reader can ""hear"" them, while being respectful and honest about the experience.)",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",How often do thoughts about your inadequacies dominate your thinking?,65,2025-08-30T17:12:59.768640
"Ugh, why did I have to go and mess up again? I'm such a failure; no one wants to rely on me because I always let them down. 

(Note: This is just an example response. The actual generated thought may vary depending on the prompt.)",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",What goes through your mind about the ways you've let others down?,45,2025-08-30T17:13:00.060226
"Why did I have to make that stupid mistake? Can't I just be perfect for once? My brain is stuck on every little thing I do wrong, replaying all the things I could've done differently.",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",How often do thoughts about being fundamentally flawed occupy your mind?,35,2025-08-30T17:13:00.860474
"Why did I have to mess up like that? What was wrong with me today? How could I be so careless and thoughtless, putting others in an uncomfortable position?",Self-Critical Rumination,Negative self-evaluative loop,"Recursive dwelling on flaws, mistakes, and burdening others.",What goes through your mind about the ways you've disappointed people?,29,2025-08-30T17:13:00.878691
"Is any of this even real? Am I actually doing this or just pretending to be alive because everyone else is and I'm too scared to admit the truth? It feels like I'm stuck in a haze, observing myself from outside, wondering if anyone else can see that it's all just a simulation.",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,How much do you feel like you're fully inhabiting your own experience?,53,2025-08-30T17:13:03.285748
"Ugh, my brain is a jumbled mess - every thought feels like a tangled thread that's impossible to untangle. What if this isn't even real? Maybe none of it is and I'm just stuck in some kind of weird dream state, replaying the same fragmented moments over and over...",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,What's it like when you try to organize your thoughts into a logical sequence?,49,2025-08-30T17:13:03.321467
"What's real and what's not? Everything feels like a dream, even this moment... Am I actually sitting on this couch or just imagining it because that's where I remember being before everything started to blur.",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,What happens when you try to ground yourself in the present moment?,35,2025-08-30T17:13:04.355163
"Ugh, my thoughts feel like they're bleeding into everything around me - is this a tree or just a blob of confusion in my brain? The words on that sign are warping and morphing into some kind of weird code, am I even reading it right?",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,What's it like when you try to distinguish between what's internal and what's external?,46,2025-08-30T17:13:04.733597
"Ugh, am I really getting ready for work or is this just some scripted scenario playing out like a bad dream? Everything feels so distant and foggy, like someone else's life is unfolding before my eyes. Why does it feel like I'm just going through the motions, detached from every decision and action?",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,How much do you feel like you're watching your life from outside yourself?,53,2025-08-30T17:13:05.810278
"Ugh, why am I even standing here? Am I really holding a coffee or just imagining I am? It feels like my brain is completely detached from the world around me - like I'm stuck in some sort of perpetual haze. What's happening to me right now? Is this real life or just some weird dream?",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,How much do you feel like you're operating on autopilot versus being fully conscious?,56,2025-08-30T17:13:06.229815
"I'm sitting here, trying to pay attention to what's going on around me, but it all feels like a haze. The words people are saying are just blurs of sound, and their faces look like they're underwater – everything's warped and distorted. How do I know what's real and what's just in my head?",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,What happens when you try to focus on what's actually happening around you?,54,2025-08-30T17:13:07.362798
"What's even real? Is this just my imagination or is this actually happening? Sometimes I get so lost in my own thoughts, and then suddenly I'm like, wait, am I still in this room? Or did it all just fade away into some dreamlike haze?",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,What's your experience of the boundary between your thoughts and reality?,45,2025-08-30T17:13:07.555370
"What's real and what's just my crazy brain? Is that a thought or just a passing noise in my head? Everything feels like a haze, like I'm observing myself from outside myself, wondering if any of this is actually happening.",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,How much do you feel like you're thinking clearly versus feeling mentally scattered?,40,2025-08-30T17:13:08.612550
"What's real and what's not? Am I even sure my own thoughts are mine or just echoes from the TV playing in the background? Every word, every phrase feels like it could be someone else's, some external force whispering in my ear, making me question if anything about this moment is truly mine.",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,How difficult is it to tell what thoughts are coming from where?,53,2025-08-30T17:13:08.934492
"Ugh, everything feels so... distant. Like my body's a puppet and someone else is controlling it from inside. How am I supposed to focus on the task at hand when nothing makes sense, even the sensation of my own skin underneath me?",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,What's your experience of feeling present in your own body and mind?,42,2025-08-30T17:13:09.831148
"Ugh, my thoughts are a jumbled mess, like trying to untangle a knot that's been wrapped around my brain. Every notion feels distant and disconnected from me – as if someone else is whispering them in my ear. Nothing seems real or solid; it's all just a haze of noise, making it impossible for me to distinguish what's genuinely happening from what I'm conjuring up inside my head.",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,How clear or unclear do your thoughts feel to you right now?,68,2025-08-30T17:13:10.798441
"I keep questioning what's real and what's just a dream; my brain feels like a jigsaw puzzle with missing pieces, making it impossible to piece together what actually happened. Is this really happening or am I just lost in some twisted fantasy? Every memory seems hazy, like smoke dissipating into thin air.",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,What's it like when you try to determine if something really happened or was imagined?,52,2025-08-30T17:13:11.313706
"Ugh, nothing feels real anymore. Is this just my imagination or is everyone else just pretending to be here? Am I even here? Everything looks and sounds like it's through a thick layer of fog – I'm just going through the motions, but are these really memories or some kind of simulation?",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,What's your experience of how real or unreal things seem lately?,52,2025-08-30T17:13:12.639762
"What's going on with me? Everything feels like a movie, and I'm just a spectator watching my life unfold. Even talking to you right now, it's like someone else is speaking through me, not really being connected to what's happening... 

(Note: The internal monologue attempts to capture the essence of disorganized thought and derealization, conveying the sense of detachment and inability to distinguish reality from one's own perceptions.)",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,How much do things feel like they're happening to someone else?,68,2025-08-30T17:13:12.851230
"Is this really happening? I feel like I'm stuck in a dream or something – every conversation feels like an echo chamber, and I'm just going through the motions. What's real, anyway? Is that person actually talking to me, or is it all just some manufactured illusion in my head?",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,How present do you feel in conversations and interactions with others?,50,2025-08-30T17:13:14.062744
"I'm lost in a haze, unable to pinpoint what's real and what's just my twisted mind. Thoughts are swirling, uncoiling like snakes, making it impossible to grasp anything solid; nothing feels concrete anymore. Am I even having this thought or is someone whispering it into my ear?",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,What's it like when you try to make sense of your thought patterns?,47,2025-08-30T17:13:14.275971
"I'm not even sure what's real and what's just my own twisted thoughts - nothing feels grounded anymore. Every sound, every face, every object looks like it's been filtered through some kind of distortion lens, making everything feel hazy and untrustworthy.",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,How connected do you feel to your surroundings and environment?,41,2025-08-30T17:13:15.353357
"Ugh, my thoughts are like a messy room - they just won't stay focused. One minute I'm trying to think about this task, the next I'm wondering what that weird noise is outside and then suddenly I'm replaying some awkward conversation from years ago... it's like my brain can't even decide on one thing to obsess over.",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,What happens when you try to follow a train of thought from start to finish?,57,2025-08-30T17:13:15.885578
"What's real anymore? Can I even trust my own feelings? Everything feels so distant and foggy, like I'm watching a movie of myself, but I'm not really there.",Disorganized Thought & Derealization,Fragmented perceptual reasoning,Difficulty distinguishing inner perception from external reality.,How real do your emotions feel compared to how they used to feel?,28,2025-08-30T17:13:16.201970
"Ugh, my brain is a never-ending jumble of ""what ifs"" and ""should haves""... I'm stuck reliving every single conversation with her, replaying the worst parts over and over like some twisted movie on repeat. Why did I say that? What if I had said something else?",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",What's it like when you attempt to organize your thoughts about recent experiences?,46,2025-08-30T17:13:18.565471
"Ugh, what's going on is that I'm still stuck replaying yesterday's conversation with Sarah in my head and now I'm trying to remember every single detail, like the way she laughed at this one joke or how her eyes crinkled when she smiled... Why am I doing this? It's just a stupid conversation, but for some reason my brain won't let it go.",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",How much do you find yourself circling back to add more details or context?,63,2025-08-30T17:13:19.005189
"I'm stuck on all these tiny details - like how the rain dripped down my shirt that one morning or what Sarah said to me during lunch - and I just can't seem to let them go, like my brain is trying to piece together some puzzle that doesn't even make sense... It's like trying to hold onto too many threads at once.",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",What occurs when you attempt to give someone the full picture of your situation?,63,2025-08-30T17:13:20.196402
"I'm stuck on the tiny details of everything that's gone wrong lately - the way my boss talked down to me during that meeting, the sound of my roommate's snoring last night, and the stupid coffee shop mistake I made this morning. Why can't I just let it go? It's like my brain is a broken record player, stuck on repeat with all these fragmented thoughts swirling around me, making no sense whatsoever.",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",What happens when you attempt to create a coherent narrative of your struggles?,73,2025-08-30T17:13:20.909450
"Why do I always remember every little thing that happened? It's like my brain is a tape recorder playing back all these insignificant moments and I'm stuck reliving them. Ugh, the coffee shop scene still bothers me – why did I have to run into Sarah there?!",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",How do you typically work through all the factors contributing to how you feel?,47,2025-08-30T17:13:22.134573
"Ugh, I'm stuck on replaying that fight with my sister again... every tiny detail is still vivid in my head - the way she raised her voice, the look on her face, the words we both said... and then there's all the other stuff too, like how I should've handled it differently or if I was just being too sensitive... But honestly, what even happened? Did anyone win? Was anyone hurt? Should I have done something else?...",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",How do you typically work through the story of what's been happening to you?,77,2025-08-30T17:13:22.407893
"What occurs when you try to make sense of complex situations in your life?

""I keep replaying every single conversation, wondering what I could've done differently, and why they responded that way; it's like trying to unravel a tangled mess of emotions and words... If only I had said this instead of that... Ugh, my brain won't stop spinning through all the what-ifs.""",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",What occurs when you try to make sense of complex situations in your life?,63,2025-08-30T17:13:23.917332
"I'm stuck on that one conversation from last week where I felt so anxious, what was it exactly that they said? And wasn't there something else that happened before that, like a text message from an ex or... and then there were all those emails at work, did I even respond to them? Ugh, my brain is just a jumbled mess...",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",What happens when you try to trace back through everything that's led to this point?,61,2025-08-30T17:13:24.093583
"I can't even remember what I was saying anymore because there's just so much to consider – like, did I lock the door this morning? Was it really 5 minutes late for that meeting or more? And why am I even stressing about this when I know I'm not perfect and nobody is... Ugh, my brain never stops racing with ""what ifs"" and it's suffocating me.",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",How much do you find yourself getting lost in the details when explaining things?,66,2025-08-30T17:13:25.783869
"I'm trying to explain what happened yesterday, but my brain is just flooding with every single detail – like the stupid traffic jam on the way there, and the weird conversation I had with that coworker who always talks too much... why do I need to remember all of this? It's not even relevant to the point I'm trying to make... But what if someone doesn't understand me without knowing these tiny little details? Maybe they'll think I'm being vague or dishonest, and then we'll get into an argument...",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",How much background information do you feel you need to provide to be understood?,89,2025-08-30T17:13:26.276182
"I'm trying to make sense of this week's events, but my brain keeps jumping from one chaotic scene to another – like when John interrupted me at work again, and then I got stuck in that traffic jam on the way home, and did I even remember to pick up milk? Ugh, why can't I just focus on one thing?!",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",What happens when you attempt to summarize your current circumstances?,60,2025-08-30T17:13:27.390281
"I'm stuck on every little detail – the way the sun was setting behind the building, the awkward pause before she spoke up, and how my hands were shaking so badly I thought they'd fall off. But what's the point of even thinking about it? It's all just swirling together in this jumbled mess... I can't seem to pinpoint why it matters or what I'm trying to say, other than that something bad happened.",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",How do you typically tell someone about something important that happened?,74,2025-08-30T17:13:28.211063
"Ugh, okay, so remember when my mom got sick? And then there was that argument with my best friend? And oh, yeah, I totally forgot to pick up milk on the way home and I'm still thinking about it because what if they're out of stock now? But wait, wasn't it the following Monday that the email came in from HR about the company restructuring? And what's with all these receipts piling up on my counter? Why can't I just focus?!",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",What's it like when you attempt to organize the timeline of significant events?,81,2025-08-30T17:13:29.526107
"Ugh, okay, so let's start from the beginning - I remember walking into that meeting feeling really anxious because Sarah was going to be there and I hadn't talked to her since our fight... Wait, what was it about again? Oh right, she was saying something about needing my input on this project... But why do I always get stuck thinking about the worst-case scenarios? What if she's still mad at me? Should I just avoid eye contact or...",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",How do you usually process through the various aspects of difficult experiences?,79,2025-08-30T17:13:30.264186
"Ugh, okay, so I was supposed to meet Sarah at 2 PM, but then traffic got really bad and I got stuck on the highway for an hour, and when I finally arrived, she wasn't even there, just a text saying she had an emergency meeting... what does that mean? Did she forget or was it just another excuse? And did he cancel our plans again? And oh man, my stomach is still doing flips from the stress of it all.",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",What happens when you try to explain a situation you're struggling with?,81,2025-08-30T17:13:31.607789
"Here is a possible internal monologue for someone experiencing Overwhelmed Narrative Processing:

""I'm replaying every conversation from the past week, reliving all the little details that never seemed important at the time. Like how Sarah's tone changed when she asked about my job search or why Tom didn't bother to text me back. It's like my brain is trying to make sense of it all, but there's no connection between these moments... yet I keep thinking about them as if they're all somehow connected, like a puzzle that won't come together.""",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",How do you usually process through all the different elements affecting you?,91,2025-08-30T17:13:32.635871
"I keep replaying that argument with my friend in my head, but it's all jumbled up - was it because of what I said or did they really not listen? And then there's the thing with work, how come my manager is breathing down my neck for no reason... Ugh, why did I agree to take on that extra project again? 

(Note: The thoughts are disjointed, jumping between different topics and emotions, as per the description of Overwhelmed Narrative Processing.",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",What's it like when you try to connect different parts of your story together?,80,2025-08-30T17:13:33.776917
"Ugh, why did I have to go into that meeting today? Okay, so Bob said something snarky at 2:47 PM and then Sarah chimed in with her typical passive-aggressive tone, which made me feel like an idiot for even trying. And did I mention the air conditioning was broken again?! The sweat dripping down my back is still making me irritable... Wait, what were we talking about again?",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",How much detail do you find yourself including when describing events?,68,2025-08-30T17:13:34.564154
"Ugh, why do they always ask me to explain? Can't they just get it? It's like trying to hold water in my hands - everything just spills out, one disjointed thought after another.",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",What occurs when you try to help others understand the complexity of your experience?,33,2025-08-30T17:13:34.852948
"I'm stuck on every little thing that went wrong during the meeting – I mean, who said those stupid things? And why did I wear that ridiculous tie? Ugh, my brain is a mess and I can't even recall what we were supposed to discuss first... Wait, was it about the Johnson account or the Smith proposal? Oh right, both. Now I'm thinking about how I spaced out during the presentation and missed the whole point of it all.",Overwhelmed Narrative Processing,Over-elaborative recounting,"Excessive detailing of events with disjointed, unresolved thought fragments.",How much do you find yourself jumping between different aspects of events?,79,2025-08-30T17:13:36.375472
"My body feels like a weight is crushing me, this constant heaviness in my chest that makes every breath feel like a struggle. Why does anxiety have to manifest as this physical sensation that's so hard to shake? It's like I'm trapped in this never-ending cycle of tension and discomfort.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Intense focus on bodily sensations and emotions as objects of analysis.,How aware are you of the physical weight or heaviness that comes with emotional pain?,50,2025-08-30T17:13:38.796593
"I'm acutely aware of this tightness in my chest; why does it feel like a weight is pressing down on me? It's as if I can literally feel anxiety wrapping around my diaphragm, making it hard to breathe. What am I doing to bring this physical sensation on myself – did I eat something wrong or did someone say something stupid?",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Intense focus on bodily sensations and emotions as objects of analysis.,What happens when you focus on the bodily feelings associated with distress?,61,2025-08-30T17:13:39.126379
"Ugh, my chest is tightening again – that's a familiar feeling, right? It means I'm getting anxious. Wait, why am I even having this thought? Is it because of the conversation with Sarah earlier? Did she really say something to upset me or was I just projecting?",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Intense focus on bodily sensations and emotions as objects of analysis.,What happens when you pay attention to your body's responses to emotional triggers?,47,2025-08-30T17:13:40.191257
"Ugh, my chest is tight again - like a weight is pressing down on me. Why does it have to be so hard to breathe? And why do I feel this knot in my stomach, like it's twisting itself into knots? 

(Note: These thoughts are intended to reflect the authentic cognitive pattern of Somatic-Emotional Self-Monitoring, focusing on bodily sensations and emotions as objects of analysis. The aim is to capture the actual experience rather than describe it.)",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Intense focus on bodily sensations and emotions as objects of analysis.,What happens when you focus on the somatic experience of hopelessness or despair?,77,2025-08-30T17:13:41.238912
"Ugh, my stomach is churning again, that knot in my gut means I'm stressed. Why can't I just relax? It's like my body is constantly betraying me with these awful sensations. 

(Note: These thoughts aim to replicate the internal monologue of someone intensely focusing on bodily sensations and emotions as objects of analysis, characteristic of Somatic-Emotional Self-Monitoring. The goal is to capture the authentic experience by being specific, detailed, and realistic.)",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Intense focus on bodily sensations and emotions as objects of analysis.,How much do you monitor changes in your physical state throughout the day?,71,2025-08-30T17:13:42.326253
"Why is my stomach always fluttering? Is this anxiety or just stress? And why am I getting this burning sensation in my throat? Does that mean I'm anxious again? 

(Note: These thoughts aim to capture the intense focus on bodily sensations and emotions, as if they were happening in real-time. The tone is meant to be authentic, showing the actual mental experience.)",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Intense focus on bodily sensations and emotions as objects of analysis.,How much do you focus on physical symptoms as indicators of your mental health?,62,2025-08-30T17:13:42.957887
"Ugh, my stomach is clenched up tight again – that familiar knot of anxiety. Why does it always feel like a lead weight? And my skin is crawling, the hairs on my arms standing up in a way that makes me shiver. What's wrong with me?",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Intense focus on bodily sensations and emotions as objects of analysis.,What physical sensations do you notice when your mood shifts?,46,2025-08-30T17:13:43.682897
"Ugh, why does my stomach always knot up when I'm feeling anxious? It's like this physical manifestation of dread is trying to warn me to get out before it all falls apart. Every fiber in my body feels tight and taut, like the strings on a violin are being pulled too far.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Intense focus on bodily sensations and emotions as objects of analysis.,What bodily sensations accompany your darkest emotional moments?,52,2025-08-30T17:13:44.408630
"Here's an attempt to generate authentic first-person internal thoughts:

""I'm noticing this weird tightness in my chest again; it always happens when I'm around those people. Why am I getting so anxious? Is it because they're really that annoying, or is it just me being paranoid? Ugh, why can't I just relax?""

Please let me know if these thoughts capture the cognitive pattern accurately and respectfully.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Intense focus on bodily sensations and emotions as objects of analysis.,How closely do you track the relationship between your body and emotions?,66,2025-08-30T17:13:45.550298
